Mode,Tier,Map,Hero,Role,Win Rate (%),Pick Rate (%)
Quick Play,All,ilios,Venture,DAMAGE,53.3,3.5
Quick Play,All,ilios,Widowmaker,DAMAGE,43.8,3.6
Quick Play,All,ilios,Winston,TANK,52.8,6.7
Quick Play,All,ilios,Wrecking Ball,TANK,47.6,3.4
Quick Play,All,ilios,Wuyang,SUPPORT,51.4,12.1
Quick Play,All,ilios,Zarya,TANK,47.3,5.5
Quick Play,All,ilios,Zenyatta,SUPPORT,52.0,8.5
Quick Play,All,nepal,Ana,SUPPORT,46.5,36.4
Quick Play,All,nepal,Anran,DAMAGE,51.3,14.6
Quick Play,All,nepal,Ashe,DAMAGE,47.1,8.4
Quick Play,All,nepal,Baptiste,SUPPORT,45.3,5.4
Quick Play,All,nepal,Bastion,DAMAGE,49.8,9.5
Quick Play,All,nepal,Brigitte,SUPPORT,51.2,4.1
Quick Play,All,nepal,Cassidy,DAMAGE,46.6,21.0
Quick Play,All,nepal,D.Va,TANK,44.7,6.9
Quick Play,All,nepal,Domina,TANK,52.6,11.6
Quick Play,All,nepal,Doomfist,TANK,49.5,10.6
Quick Play,All,nepal,Echo,DAMAGE,50.2,5.1
Quick Play,All,nepal,Emre,DAMAGE,49.5,17.0
Quick Play,All,nepal,Freja,DAMAGE,46.0,4.5
Quick Play,All,nepal,Genji,DAMAGE,49.6,11.4
Quick Play,All,nepal,Hanzo,DAMAGE,48.7,6.0
Quick Play,All,nepal,Hazard,TANK,54.3,3.4
Quick Play,All,nepal,Illari,SUPPORT,52.9,7.1
Quick Play,All,nepal,Jetpack Cat,SUPPORT,50.4,12.9
Quick Play,All,nepal,Junker Queen,TANK,53.0,3.3
Quick Play,All,nepal,Junkrat,DAMAGE,52.7,9.4
Quick Play,All,nepal,Juno,SUPPORT,50.5,12.7
Quick Play,All,nepal,Kiriko,SUPPORT,48.0,34.0
Quick Play,All,nepal,Lifeweaver,SUPPORT,46.4,5.7
Quick Play,All,nepal,Lúcio,SUPPORT,51.7,8.1
Quick Play,All,nepal,Mauga,TANK,50.8,4.9
Quick Play,All,nepal,Mei,DAMAGE,55.7,8.7
Quick Play,All,nepal,Mercy,SUPPORT,47.1,8.6
Quick Play,All,nepal,Mizuki,SUPPORT,53.7,23.4
Quick Play,All,nepal,Moira,SUPPORT,52.1,17.4
Quick Play,All,nepal,Orisa,TANK,48.0,11.0
Quick Play,All,nepal,Pharah,DAMAGE,52.9,5.6
Quick Play,All,nepal,Ramattra,TANK,49.4,6.2
Quick Play,All,nepal,Reaper,DAMAGE,53.8,11.1
Quick Play,All,nepal,Reinhardt,TANK,52.9,8.6
Quick Play,All,nepal,Roadhog,TANK,49.2,10.8
Quick Play,All,nepal,Sigma,TANK,51.2,7.1
Quick Play,All,nepal,Sojourn,DAMAGE,45.6,12.4
Quick Play,All,nepal,Soldier: 76,DAMAGE,48.3,14.8
Quick Play,All,nepal,Sombra,DAMAGE,47.4,6.1
Quick Play,All,nepal,Symmetra,DAMAGE,60.9,5.7
Quick Play,All,nepal,Torbjörn,DAMAGE,55.6,3.4
Quick Play,All,nepal,Tracer,DAMAGE,47.4,8.5
Quick Play,All,nepal,Vendetta,DAMAGE,50.8,11.9
Quick Play,All,nepal,Venture,DAMAGE,51.8,3.3
Quick Play,All,nepal,Widowmaker,DAMAGE,41.3,1.8
Quick Play,All,nepal,Winston,TANK,49.5,5.1
Quick Play,All,nepal,Wrecking Ball,TANK,47.1,3.1
Quick Play,All,nepal,Wuyang,SUPPORT,51.6,14.0
Quick Play,All,nepal,Zarya,TANK,49.7,7.3
Quick Play,All,nepal,Zenyatta,SUPPORT,53.0,10.1
Quick Play,All,lijiang-tower,Ana,SUPPORT,45.9,36.0
Quick Play,All,lijiang-tower,Anran,DAMAGE,50.4,14.2
Quick Play,All,lijiang-tower,Ashe,DAMAGE,46.7,7.6
Quick Play,All,lijiang-tower,Baptiste,SUPPORT,44.3,5.2
Quick Play,All,lijiang-tower,Bastion,DAMAGE,48.1,9.4
Quick Play,All,lijiang-tower,Brigitte,SUPPORT,50.5,4.0
Quick Play,All,lijiang-tower,Cassidy,DAMAGE,47.1,21.8
Quick Play,All,lijiang-tower,D.Va,TANK,45.9,7.0
Quick Play,All,lijiang-tower,Domina,TANK,52.9,11.5
Quick Play,All,lijiang-tower,Doomfist,TANK,50.5,11.9
Quick Play,All,lijiang-tower,Echo,DAMAGE,49.4,5.4
Quick Play,All,lijiang-tower,Emre,DAMAGE,48.8,16.4
Quick Play,All,lijiang-tower,Freja,DAMAGE,45.9,4.3
Quick Play,All,lijiang-tower,Genji,DAMAGE,49.9,10.9
Quick Play,All,lijiang-tower,Hanzo,DAMAGE,49.4,5.8
Quick Play,All,lijiang-tower,Hazard,TANK,52.3,3.0
Quick Play,All,lijiang-tower,Illari,SUPPORT,53.6,6.9
Quick Play,All,lijiang-tower,Jetpack Cat,SUPPORT,52.1,15.3
Quick Play,All,lijiang-tower,Junker Queen,TANK,52.8,3.2
Quick Play,All,lijiang-tower,Junkrat,DAMAGE,52.1,9.9
Quick Play,All,lijiang-tower,Juno,SUPPORT,49.9,12.4
Quick Play,All,lijiang-tower,Kiriko,SUPPORT,47.8,32.4
Quick Play,All,lijiang-tower,Lifeweaver,SUPPORT,45.1,5.3
Quick Play,All,lijiang-tower,Lúcio,SUPPORT,53.9,10.9
Quick Play,All,lijiang-tower,Mauga,TANK,49.7,4.8
Quick Play,All,lijiang-tower,Mei,DAMAGE,53.4,8.2
Quick Play,All,lijiang-tower,Mercy,SUPPORT,47.0,8.4
Quick Play,All,lijiang-tower,Mizuki,SUPPORT,54.2,23.2
Quick Play,All,lijiang-tower,Moira,SUPPORT,51.1,16.7
Quick Play,All,lijiang-tower,Orisa,TANK,48.2,11.5
Quick Play,All,lijiang-tower,Pharah,DAMAGE,56.0,9.2
Quick Play,All,lijiang-tower,Ramattra,TANK,49.4,5.9
Quick Play,All,lijiang-tower,Reaper,DAMAGE,53.4,10.6
Quick Play,All,lijiang-tower,Reinhardt,TANK,53.3,8.8
Quick Play,All,lijiang-tower,Roadhog,TANK,49.2,9.4
Quick Play,All,lijiang-tower,Sigma,TANK,50.2,6.6
Quick Play,All,lijiang-tower,Sojourn,DAMAGE,44.9,11.7
Quick Play,All,lijiang-tower,Soldier: 76,DAMAGE,47.8,14.2
Quick Play,All,lijiang-tower,Sombra,DAMAGE,46.7,5.7
Quick Play,All,lijiang-tower,Symmetra,DAMAGE,62.1,6.3
Quick Play,All,lijiang-tower,Torbjörn,DAMAGE,56.4,3.1
Quick Play,All,lijiang-tower,Tracer,DAMAGE,48.8,8.7
Quick Play,All,lijiang-tower,Vendetta,DAMAGE,51.7,11.3
Quick Play,All,lijiang-tower,Venture,DAMAGE,53.2,3.4
Quick Play,All,lijiang-tower,Widowmaker,DAMAGE,39.9,1.9
Quick Play,All,lijiang-tower,Winston,TANK,49.6,4.9
Quick Play,All,lijiang-tower,Wrecking Ball,TANK,48.3,4.0
Quick Play,All,lijiang-tower,Wuyang,SUPPORT,51.4,13.8
Quick Play,All,lijiang-tower,Zarya,TANK,48.5,7.5
Quick Play,All,lijiang-tower,Zenyatta,SUPPORT,52.0,9.4
Quick Play,All,oasis,Ana,SUPPORT,46.1,35.0
Quick Play,All,oasis,Anran,DAMAGE,51.0,14.5
Quick Play,All,oasis,Ashe,DAMAGE,48.0,7.7
Quick Play,All,oasis,Baptiste,SUPPORT,46.5,5.8
Quick Play,All,oasis,Bastion,DAMAGE,49.0,9.9
Quick Play,All,oasis,Brigitte,SUPPORT,49.4,4.6
Quick Play,All,oasis,Cassidy,DAMAGE,48.9,24.3
Quick Play,All,oasis,D.Va,TANK,46.9,8.0
Quick Play,All,oasis,Domina,TANK,52.1,11.4
Quick Play,All,oasis,Doomfist,TANK,48.4,9.9
Quick Play,All,oasis,Echo,DAMAGE,51.9,5.3
Quick Play,All,oasis,Emre,DAMAGE,49.9,16.8
Quick Play,All,oasis,Freja,DAMAGE,46.9,4.4
Quick Play,All,oasis,Genji,DAMAGE,48.5,11.3
Quick Play,All,oasis,Hanzo,DAMAGE,49.2,5.6
Quick Play,All,oasis,Hazard,TANK,52.9,3.6
Quick Play,All,oasis,Illari,SUPPORT,54.1,7.1
Quick Play,All,oasis,Jetpack Cat,SUPPORT,50.0,12.6
Quick Play,All,oasis,Junker Queen,TANK,54.5,3.7
Quick Play,All,oasis,Junkrat,DAMAGE,51.5,7.0
Quick Play,All,oasis,Juno,SUPPORT,51.1,13.1
Quick Play,All,oasis,Kiriko,SUPPORT,47.8,35.1
Quick Play,All,oasis,Lifeweaver,SUPPORT,47.0,5.6
Quick Play,All,oasis,Lúcio,SUPPORT,50.4,6.5
Quick Play,All,oasis,Mauga,TANK,50.7,5.3
Quick Play,All,oasis,Mei,DAMAGE,54.8,8.5
Quick Play,All,oasis,Mercy,SUPPORT,47.7,8.9
Quick Play,All,oasis,Mizuki,SUPPORT,54.5,24.7
Quick Play,All,oasis,Moira,SUPPORT,51.5,17.5
Quick Play,All,oasis,Orisa,TANK,47.7,10.4
Quick Play,All,oasis,Pharah,DAMAGE,53.3,5.2
Quick Play,All,oasis,Ramattra,TANK,50.0,6.1
Quick Play,All,oasis,Reaper,DAMAGE,52.6,11.3
Quick Play,All,oasis,Reinhardt,TANK,49.5,7.8
Quick Play,All,oasis,Roadhog,TANK,50.1,9.3
Quick Play,All,oasis,Sigma,TANK,51.3,7.3
Quick Play,All,oasis,Sojourn,DAMAGE,44.5,12.4
Quick Play,All,oasis,Soldier: 76,DAMAGE,49.9,15.4
Quick Play,All,oasis,Sombra,DAMAGE,48.5,6.9
Quick Play,All,oasis,Symmetra,DAMAGE,55.4,3.5
Quick Play,All,oasis,Torbjörn,DAMAGE,56.0,3.5
Quick Play,All,oasis,Tracer,DAMAGE,49.7,10.2
Quick Play,All,oasis,Vendetta,DAMAGE,50.9,11.9
Quick Play,All,oasis,Venture,DAMAGE,50.9,3.1
Quick Play,All,oasis,Widowmaker,DAMAGE,40.7,1.5
Quick Play,All,oasis,Winston,TANK,51.8,6.3
Quick Play,All,oasis,Wrecking Ball,TANK,46.5,3.5
Quick Play,All,oasis,Wuyang,SUPPORT,52.5,14.1
Quick Play,All,oasis,Zarya,TANK,50.5,7.3
Quick Play,All,oasis,Zenyatta,SUPPORT,51.8,9.6
Quick Play,All,samoa,Ana,SUPPORT,46.0,36.1
Quick Play,All,samoa,Anran,DAMAGE,52.5,15.2
Quick Play,All,samoa,Ashe,DAMAGE,48.7,9.0
Quick Play,All,samoa,Baptiste,SUPPORT,46.0,6.0
Quick Play,All,samoa,Bastion,DAMAGE,50.1,10.3
Quick Play,All,samoa,Brigitte,SUPPORT,49.8,4.6
Quick Play,All,samoa,Cassidy,DAMAGE,47.3,22.5
Quick Play,All,samoa,D.Va,TANK,46.5,6.7
Quick Play,All,samoa,Domina,TANK,52.1,11.9
Quick Play,All,samoa,Doomfist,TANK,48.6,9.0
Quick Play,All,samoa,Echo,DAMAGE,49.1,4.7
Quick Play,All,samoa,Emre,DAMAGE,50.8,17.9
Quick Play,All,samoa,Freja,DAMAGE,45.8,4.4
Quick Play,All,samoa,Genji,DAMAGE,49.0,10.5
Quick Play,All,samoa,Hanzo,DAMAGE,48.4,5.7
Quick Play,All,samoa,Hazard,TANK,52.9,3.5
Quick Play,All,samoa,Illari,SUPPORT,54.4,7.3
Quick Play,All,samoa,Jetpack Cat,SUPPORT,48.5,11.7
Quick Play,All,samoa,Junker Queen,TANK,54.2,4.0
Quick Play,All,samoa,Junkrat,DAMAGE,49.6,6.9
Quick Play,All,samoa,Juno,SUPPORT,51.7,13.6
Quick Play,All,samoa,Kiriko,SUPPORT,47.2,34.9
Quick Play,All,samoa,Lifeweaver,SUPPORT,47.0,5.7
Quick Play,All,samoa,Lúcio,SUPPORT,50.6,5.7
Quick Play,All,samoa,Mauga,TANK,52.7,6.7
Quick Play,All,samoa,Mei,DAMAGE,55.4,8.4
Quick Play,All,samoa,Mercy,SUPPORT,47.3,8.1
Quick Play,All,samoa,Mizuki,SUPPORT,54.5,24.2
Quick Play,All,samoa,Moira,SUPPORT,52.4,18.1
Quick Play,All,samoa,Orisa,TANK,46.8,10.4
Quick Play,All,samoa,Pharah,DAMAGE,49.1,4.3
Quick Play,All,samoa,Ramattra,TANK,50.1,6.6
Quick Play,All,samoa,Reaper,DAMAGE,54.7,11.2
Quick Play,All,samoa,Reinhardt,TANK,51.5,8.2
Quick Play,All,samoa,Roadhog,TANK,48.5,8.9
Quick Play,All,samoa,Sigma,TANK,50.4,7.7
Quick Play,All,samoa,Sojourn,DAMAGE,44.5,13.1
Quick Play,All,samoa,Soldier: 76,DAMAGE,49.2,14.5
Quick Play,All,samoa,Sombra,DAMAGE,46.8,6.5
Quick Play,All,samoa,Symmetra,DAMAGE,57.7,3.6
Quick Play,All,samoa,Torbjörn,DAMAGE,56.1,3.7
Quick Play,All,samoa,Tracer,DAMAGE,50.5,10.6
Quick Play,All,samoa,Vendetta,DAMAGE,51.6,11.6
Quick Play,All,samoa,Venture,DAMAGE,52.1,3.2
Quick Play,All,samoa,Widowmaker,DAMAGE,41.2,1.9
Quick Play,All,samoa,Winston,TANK,49.8,5.7
Quick Play,All,samoa,Wrecking Ball,TANK,48.1,3.3
Quick Play,All,samoa,Wuyang,SUPPORT,52.3,14.1
Quick Play,All,samoa,Zarya,TANK,50.6,7.5
Quick Play,All,samoa,Zenyatta,SUPPORT,53.2,9.9
Quick Play,All,busan,Ana,SUPPORT,46.7,35.2
Quick Play,All,busan,Anran,DAMAGE,51.6,13.6
Quick Play,All,busan,Ashe,DAMAGE,49.4,10.5
Quick Play,All,busan,Baptiste,SUPPORT,45.7,5.7
Quick Play,All,busan,Bastion,DAMAGE,48.7,10.2
Quick Play,All,busan,Brigitte,SUPPORT,50.0,4.2
Quick Play,All,busan,Cassidy,DAMAGE,48.3,20.5
Quick Play,All,busan,D.Va,TANK,48.4,9.6
Quick Play,All,busan,Domina,TANK,52.5,11.5
Quick Play,All,busan,Doomfist,TANK,48.1,9.4
Quick Play,All,busan,Echo,DAMAGE,50.7,4.6
Quick Play,All,busan,Emre,DAMAGE,51.2,17.4
Quick Play,All,busan,Freja,DAMAGE,46.3,4.7
Quick Play,All,busan,Genji,DAMAGE,49.2,11.3
Quick Play,All,busan,Hanzo,DAMAGE,47.5,5.8
Quick Play,All,busan,Hazard,TANK,51.2,3.3
Quick Play,All,busan,Illari,SUPPORT,53.8,6.9
Quick Play,All,busan,Jetpack Cat,SUPPORT,49.7,12.4
Quick Play,All,busan,Junker Queen,TANK,52.8,3.3
Quick Play,All,busan,Junkrat,DAMAGE,49.6,7.1
Quick Play,All,busan,Juno,SUPPORT,50.4,14.1
Quick Play,All,busan,Kiriko,SUPPORT,48.0,35.4
Quick Play,All,busan,Lifeweaver,SUPPORT,47.7,5.7
Quick Play,All,busan,Lúcio,SUPPORT,50.2,6.1
Quick Play,All,busan,Mauga,TANK,52.2,5.1
Quick Play,All,busan,Mei,DAMAGE,55.0,8.0
Quick Play,All,busan,Mercy,SUPPORT,46.7,9.2
Quick Play,All,busan,Mizuki,SUPPORT,54.4,22.7
Quick Play,All,busan,Moira,SUPPORT,50.9,18.2
Quick Play,All,busan,Orisa,TANK,47.0,10.5
Quick Play,All,busan,Pharah,DAMAGE,49.7,4.2
Quick Play,All,busan,Ramattra,TANK,49.2,6.4
Quick Play,All,busan,Reaper,DAMAGE,52.3,11.1
Quick Play,All,busan,Reinhardt,TANK,51.9,7.9
Quick Play,All,busan,Roadhog,TANK,49.0,8.1
Quick Play,All,busan,Sigma,TANK,51.3,7.6
Quick Play,All,busan,Sojourn,DAMAGE,45.9,12.5
Quick Play,All,busan,Soldier: 76,DAMAGE,50.7,16.9
Quick Play,All,busan,Sombra,DAMAGE,47.5,7.3
Quick Play,All,busan,Symmetra,DAMAGE,55.1,2.9
Quick Play,All,busan,Torbjörn,DAMAGE,56.5,3.5
Quick Play,All,busan,Tracer,DAMAGE,50.0,9.2
Quick Play,All,busan,Vendetta,DAMAGE,50.9,11.4
Quick Play,All,busan,Venture,DAMAGE,50.4,2.8
Quick Play,All,busan,Widowmaker,DAMAGE,48.1,4.5
Quick Play,All,busan,Winston,TANK,52.1,7.0
Quick Play,All,busan,Wrecking Ball,TANK,46.9,3.6
Quick Play,All,busan,Wuyang,SUPPORT,52.8,14.0
Quick Play,All,busan,Zarya,TANK,49.4,6.8
Quick Play,All,busan,Zenyatta,SUPPORT,53.3,10.2
Quick Play,All,route-66,Ana,SUPPORT,48.5,41.6
Quick Play,All,route-66,Anran,DAMAGE,51.9,10.7
Quick Play,All,route-66,Ashe,DAMAGE,52.6,17.1
Quick Play,All,route-66,Baptiste,SUPPORT,47.3,6.6
Quick Play,All,route-66,Bastion,DAMAGE,48.0,10.4
Quick Play,All,route-66,Brigitte,SUPPORT,49.5,2.8
Quick Play,All,route-66,Cassidy,DAMAGE,46.0,18.0
Quick Play,All,route-66,D.Va,TANK,47.6,10.7
Quick Play,All,route-66,Domina,TANK,51.8,13.4
Quick Play,All,route-66,Doomfist,TANK,49.4,8.4
Quick Play,All,route-66,Echo,DAMAGE,52.0,5.3
Quick Play,All,route-66,Emre,DAMAGE,49.7,20.3
Quick Play,All,route-66,Freja,DAMAGE,47.0,6.3
Quick Play,All,route-66,Genji,DAMAGE,50.9,11.6
Quick Play,All,route-66,Hanzo,DAMAGE,48.9,7.9
Quick Play,All,route-66,Hazard,TANK,53.6,3.1
Quick Play,All,route-66,Illari,SUPPORT,55.7,10.8
Quick Play,All,route-66,Jetpack Cat,SUPPORT,48.4,12.5
Quick Play,All,route-66,Junker Queen,TANK,53.2,2.2
Quick Play,All,route-66,Junkrat,DAMAGE,52.4,7.1
Quick Play,All,route-66,Juno,SUPPORT,50.7,14.1
Quick Play,All,route-66,Kiriko,SUPPORT,46.9,32.8
Quick Play,All,route-66,Lifeweaver,SUPPORT,48.1,7.1
Quick Play,All,route-66,Lúcio,SUPPORT,49.5,4.1
Quick Play,All,route-66,Mauga,TANK,49.4,4.1
Quick Play,All,route-66,Mei,DAMAGE,57.6,7.3
Quick Play,All,route-66,Mercy,SUPPORT,47.7,11.6
Quick Play,All,route-66,Mizuki,SUPPORT,53.3,18.1
Quick Play,All,route-66,Moira,SUPPORT,48.1,12.8
Quick Play,All,route-66,Orisa,TANK,45.6,9.1
Quick Play,All,route-66,Pharah,DAMAGE,50.1,4.7
Quick Play,All,route-66,Ramattra,TANK,48.3,5.6
Quick Play,All,route-66,Reaper,DAMAGE,53.1,9.3
Quick Play,All,route-66,Reinhardt,TANK,49.2,6.9
Quick Play,All,route-66,Roadhog,TANK,48.7,7.3
Quick Play,All,route-66,Sigma,TANK,53.5,12.0
Quick Play,All,route-66,Sojourn,DAMAGE,44.5,12.0
Quick Play,All,route-66,Soldier: 76,DAMAGE,48.2,15.5
Quick Play,All,route-66,Sombra,DAMAGE,47.0,5.9
Quick Play,All,route-66,Symmetra,DAMAGE,53.8,2.3
Quick Play,All,route-66,Torbjörn,DAMAGE,55.9,4.4
Quick Play,All,route-66,Tracer,DAMAGE,49.2,5.5
Quick Play,All,route-66,Vendetta,DAMAGE,51.9,9.8
Quick Play,All,route-66,Venture,DAMAGE,52.3,2.4
Quick Play,All,route-66,Widowmaker,DAMAGE,47.5,6.2
Quick Play,All,route-66,Winston,TANK,53.3,8.7
Quick Play,All,route-66,Wrecking Ball,TANK,51.6,3.0
Quick Play,All,route-66,Wuyang,SUPPORT,53.0,14.1
Quick Play,All,route-66,Zarya,TANK,46.7,5.7
Quick Play,All,route-66,Zenyatta,SUPPORT,55.0,11.0
Quick Play,All,havana,Ana,SUPPORT,48.4,44.7
Quick Play,All,havana,Anran,DAMAGE,52.3,10.0
Quick Play,All,havana,Ashe,DAMAGE,53.6,17.4
Quick Play,All,havana,Baptiste,SUPPORT,46.6,6.4
Quick Play,All,havana,Bastion,DAMAGE,48.8,10.5
Quick Play,All,havana,Brigitte,SUPPORT,52.3,2.3
Quick Play,All,havana,Cassidy,DAMAGE,46.5,15.2
Quick Play,All,havana,D.Va,TANK,44.1,8.3
Quick Play,All,havana,Domina,TANK,53.6,15.4
Quick Play,All,havana,Doomfist,TANK,49.1,7.7
Quick Play,All,havana,Echo,DAMAGE,49.1,3.9
Quick Play,All,havana,Emre,DAMAGE,50.8,20.6
Quick Play,All,havana,Freja,DAMAGE,45.6,6.0
Quick Play,All,havana,Genji,DAMAGE,49.6,10.7
Quick Play,All,havana,Hanzo,DAMAGE,50.4,9.9
Quick Play,All,havana,Hazard,TANK,48.9,2.3
Quick Play,All,havana,Illari,SUPPORT,56.1,11.8
Quick Play,All,havana,Jetpack Cat,SUPPORT,46.5,9.9
Quick Play,All,havana,Junker Queen,TANK,51.1,2.0
Quick Play,All,havana,Junkrat,DAMAGE,49.0,6.4
Quick Play,All,havana,Juno,SUPPORT,49.7,13.0
Quick Play,All,havana,Kiriko,SUPPORT,47.3,33.3
Quick Play,All,havana,Lifeweaver,SUPPORT,48.4,7.0
Quick Play,All,havana,Lúcio,SUPPORT,48.1,3.6
Quick Play,All,havana,Mauga,TANK,48.5,4.3
Quick Play,All,havana,Mei,DAMAGE,57.2,7.8
Quick Play,All,havana,Mercy,SUPPORT,46.5,10.6
Quick Play,All,havana,Mizuki,SUPPORT,53.4,17.6
Quick Play,All,havana,Moira,SUPPORT,47.9,12.4
Quick Play,All,havana,Orisa,TANK,46.3,10.1
Quick Play,All,havana,Pharah,DAMAGE,46.2,3.4
Quick Play,All,havana,Ramattra,TANK,50.3,6.8
Quick Play,All,havana,Reaper,DAMAGE,51.1,8.6
Quick Play,All,havana,Reinhardt,TANK,50.7,7.3
